2026-02-14 12:03:10 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 12:03:10 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 12:03:10 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 12:03:10 | pacman | INFO |    Network:        mainnet
2026-02-14 12:03:59 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:04:00 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:04:02 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 12:04:02 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 12:04:02 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 12:04:02 | pacman | INFO |    Network:        mainnet
2026-02-14 12:14:48 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:14:48 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:14:49 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 12:14:49 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 12:14:49 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 12:14:49 | pacman | INFO |    Network:        mainnet
2026-02-14 12:16:22 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:17:05 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:17:17 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 12:17:17 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 12:17:17 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 12:17:17 | pacman | INFO |    Network:        mainnet
2026-02-14 12:19:15 | pacman | INFO | 
🚀 Executing swap: 0.5 USDC_HTS → USDC
2026-02-14 12:19:15 | pacman | INFO |    Mode: EXACT_OUT (LIVE)
2026-02-14 12:19:15 | pacman | INFO |    Steps: 1
2026-02-14 12:19:16 | pacman | INFO |    ✅ Associated.
2026-02-14 12:19:16 | pacman | INFO | 
📍 Step 1/1: SWAP
2026-02-14 12:19:19 | pacman | INFO |    ⏳ Waiting for on-chain confirmation...
2026-02-14 12:19:25 | pacman | INFO |    ✅ Confirmed! Cost: 1081268400.00000000 HBAR (131862 gas)
2026-02-14 12:19:25 | pacman | INFO |    ⏳ Verifying transaction on-chain: ae9bac3028859d756b6b3f8cddda4fbb7808c9dc5f29f6389c0024ac594b4b18...
2026-02-14 12:19:26 | pacman | INFO | 
